Date,Machine,Units_Produced,Defective_Units,Quality_Rate
2025-06-20,Machine CNC,780,63,91.92
2025-06-20,Tour industriel,760,48,93.68
2025-06-20,Fraiseuse industrielle,778,48,93.83
2025-06-20,Perceuse a colonne,759,27,96.44
2025-06-20,Presse hydraulique,708,22,96.89
2025-06-20,Presse mecanique,759,15,98.02
2025-06-20,Machine de decoupe laser,760,17,97.76
2025-06-20,Machine de decoupe plasma,767,56,92.7
2025-06-20,Machine de soudage robotisee,741,61,91.77
2025-06-20,Robot assemblage,762,58,92.39
2025-06-20,Machine de moulage par injection,786,47,94.02
2025-06-20,Machine extrusion,900,35,96.11
2025-06-20,Machine de pliage,928,17,98.17
2025-06-20,Machine de polissage,1020,19,98.14
2025-06-20,Machine de peinture industrielle,1010,60,94.06
2025-06-20,Machine emballage,1095,68,93.79
2025-06-20,Etiqueteuse automatique,1077,79,92.66
2025-06-20,Convoyeur industriel,1157,70,93.95
2025-06-20,Machine de controle qualite par vision,1153,58,94.97
2025-06-20,Machine de palettisation automatique,1199,44,96.33
2025-06-21,Machine CNC,778,56,92.8
2025-06-21,Tour industriel,761,48,93.69
2025-06-21,Fraiseuse industrielle,740,36,95.14
2025-06-21,Perceuse a colonne,717,30,95.82
2025-06-21,Presse hydraulique,712,25,96.49
2025-06-21,Presse mecanique,695,25,96.4
2025-06-21,Machine de decoupe laser,730,18,97.53
2025-06-21,Machine de decoupe plasma,781,68,91.29
2025-06-21,Machine de soudage robotisee,764,58,92.41
2025-06-21,Robot assemblage,818,50,93.89
2025-06-21,Machine de moulage par injection,823,43,94.78
2025-06-21,Machine extrusion,874,31,96.45
2025-06-21,Machine de pliage,940,26,97.23
2025-06-21,Machine de polissage,974,18,98.15
2025-06-21,Machine de peinture industrielle,1026,67,93.47
2025-06-21,Machine emballage,1060,72,93.21
2025-06-21,Etiqueteuse automatique,1107,84,92.41
2025-06-21,Convoyeur industriel,1155,69,94.03
2025-06-21,Machine de controle qualite par vision,1149,50,95.65
2025-06-21,Machine de palettisation automatique,1172,47,95.99
2025-06-22,Machine CNC,706,55,92.21
2025-06-22,Tour industriel,657,43,93.46
2025-06-22,Fraiseuse industrielle,708,35,95.06
2025-06-22,Perceuse a colonne,659,26,96.05
2025-06-22,Presse hydraulique,715,23,96.78
2025-06-22,Presse mecanique,718,24,96.66
2025-06-22,Machine de decoupe laser,722,23,96.81
2025-06-22,Machine de decoupe plasma,732,62,91.53
2025-06-22,Machine de soudage robotisee,776,62,92.01
2025-06-22,Robot assemblage,857,51,94.05
2025-06-22,Machine de moulage par injection,859,43,94.99
2025-06-22,Machine extrusion,905,30,96.69
2025-06-22,Machine de pliage,971,25,97.43
2025-06-22,Machine de polissage,997,9,99.1
2025-06-22,Machine de peinture industrielle,1025,68,93.37
2025-06-22,Machine emballage,1003,66,93.42
2025-06-22,Etiqueteuse automatique,1125,76,93.24
2025-06-22,Convoyeur industriel,1081,69,93.62
2025-06-22,Machine de controle qualite par vision,1177,52,95.58
2025-06-22,Machine de palettisation automatique,1090,37,96.61
2025-06-23,Machine CNC,645,55,91.47
2025-06-23,Tour industriel,724,41,94.34
2025-06-23,Fraiseuse industrielle,660,29,95.61
2025-06-23,Perceuse a colonne,712,27,96.21
2025-06-23,Presse hydraulique,741,19,97.44
2025-06-23,Presse mecanique,774,25,96.77
2025-06-23,Machine de decoupe laser,777,23,97.04
2025-06-23,Machine de decoupe plasma,788,65,91.75
2025-06-23,Machine de soudage robotisee,830,61,92.65
2025-06-23,Robot assemblage,876,54,93.84
2025-06-23,Machine de moulage par injection,910,43,95.27
2025-06-23,Machine extrusion,916,40,95.63
2025-06-23,Machine de pliage,983,31,96.85
2025-06-23,Machine de polissage,1012,10,99.01
2025-06-23,Machine de peinture industrielle,1020,68,93.33
2025-06-23,Machine emballage,1034,77,92.55
2025-06-23,Etiqueteuse automatique,1016,67,93.41
2025-06-23,Convoyeur industriel,1107,71,93.59
2025-06-23,Machine de controle qualite par vision,1118,58,94.81
2025-06-23,Machine de palettisation automatique,1117,47,95.79
2025-06-24,Machine CNC,687,54,92.14
2025-06-24,Tour industriel,704,47,93.32
2025-06-24,Fraiseuse industrielle,719,33,95.41
2025-06-24,Perceuse a colonne,753,21,97.21
2025-06-24,Presse hydraulique,787,20,97.46
2025-06-24,Presse mecanique,747,19,97.46
2025-06-24,Machine de decoupe laser,793,26,96.72
2025-06-24,Machine de decoupe plasma,866,76,91.22
2025-06-24,Machine de soudage robotisee,835,66,92.1
2025-06-24,Robot assemblage,846,51,93.97
2025-06-24,Machine de moulage par injection,921,50,94.57
2025-06-24,Machine extrusion,904,35,96.13
2025-06-24,Machine de pliage,962,21,97.82
2025-06-24,Machine de polissage,965,15,98.45
2025-06-24,Machine de peinture industrielle,1012,69,93.18
2025-06-24,Machine emballage,984,69,92.99
2025-06-24,Etiqueteuse automatique,969,67,93.09
2025-06-24,Convoyeur industriel,1083,75,93.07
2025-06-24,Machine de controle qualite par vision,1081,44,95.93
2025-06-24,Machine de palettisation automatique,1112,28,97.48
2025-06-25,Machine CNC,737,51,93.08
2025-06-25,Tour industriel,792,59,92.55
2025-06-25,Fraiseuse industrielle,758,38,94.99
2025-06-25,Perceuse a colonne,771,21,97.28
2025-06-25,Presse hydraulique,734,30,95.91
2025-06-25,Presse mecanique,760,26,96.58
2025-06-25,Machine de decoupe laser,753,25,96.68
2025-06-25,Machine de decoupe plasma,841,70,91.68
2025-06-25,Machine de soudage robotisee,878,74,91.57
2025-06-25,Robot assemblage,884,58,93.44
2025-06-25,Machine de moulage par injection,848,38,95.52
2025-06-25,Machine extrusion,919,29,96.84
2025-06-25,Machine de pliage,942,29,96.92
2025-06-25,Machine de polissage,950,15,98.42
2025-06-25,Machine de peinture industrielle,948,71,92.51
2025-06-25,Machine emballage,950,67,92.95
2025-06-25,Etiqueteuse automatique,1074,70,93.48
2025-06-25,Convoyeur industriel,1093,64,94.14
2025-06-25,Machine de controle qualite par vision,1121,63,94.38
2025-06-25,Machine de palettisation automatique,1130,35,96.9
2025-06-26,Machine CNC,782,58,92.58
2025-06-26,Tour industriel,720,38,94.72
2025-06-26,Fraiseuse industrielle,817,40,95.1
2025-06-26,Perceuse a colonne,788,34,95.69
2025-06-26,Presse hydraulique,730,20,97.26
2025-06-26,Presse mecanique,811,29,96.42
2025-06-26,Machine de decoupe laser,702,25,96.44
2025-06-26,Machine de decoupe plasma,792,67,91.54
2025-06-26,Machine de soudage robotisee,803,58,92.78
2025-06-26,Robot assemblage,848,56,93.4
2025-06-26,Machine de moulage par injection,850,35,95.88
2025-06-26,Machine extrusion,861,26,96.98
2025-06-26,Machine de pliage,875,14,98.4
2025-06-26,Machine de polissage,932,17,98.18
2025-06-26,Machine de peinture industrielle,990,70,92.93
2025-06-26,Machine emballage,989,75,92.42
2025-06-26,Etiqueteuse automatique,1100,71,93.55
2025-06-26,Convoyeur industriel,1116,62,94.44
2025-06-26,Machine de controle qualite par vision,1160,58,95.0
2025-06-26,Machine de palettisation automatique,1175,40,96.6
2025-06-27,Machine CNC,808,60,92.57
2025-06-27,Tour industriel,764,43,94.37
2025-06-27,Fraiseuse industrielle,751,32,95.74
2025-06-27,Perceuse a colonne,729,29,96.02
2025-06-27,Presse hydraulique,719,25,96.52
2025-06-27,Presse mecanique,717,29,95.96
2025-06-27,Machine de decoupe laser,731,23,96.85
2025-06-27,Machine de decoupe plasma,789,62,92.14
2025-06-27,Machine de soudage robotisee,735,60,91.84
2025-06-27,Robot assemblage,763,40,94.76
2025-06-27,Machine de moulage par injection,829,28,96.62
2025-06-27,Machine extrusion,885,24,97.29
2025-06-27,Machine de pliage,934,26,97.22
2025-06-27,Machine de polissage,993,18,98.19
2025-06-27,Machine de peinture industrielle,1012,72,92.89
2025-06-27,Machine emballage,1058,85,91.97
2025-06-27,Etiqueteuse automatique,1124,79,92.97
2025-06-27,Convoyeur industriel,1183,71,94.0
2025-06-27,Machine de controle qualite par vision,1163,67,94.24
2025-06-27,Machine de palettisation automatique,1207,30,97.51
2025-06-28,Machine CNC,696,53,92.39
2025-06-28,Tour industriel,698,39,94.41
2025-06-28,Fraiseuse industrielle,780,33,95.77
2025-06-28,Perceuse a colonne,699,26,96.28
2025-06-28,Presse hydraulique,702,27,96.15
2025-06-28,Presse mecanique,738,25,96.61
2025-06-28,Machine de decoupe laser,709,30,95.77
2025-06-28,Machine de decoupe plasma,762,60,92.13
2025-06-28,Machine de soudage robotisee,799,65,91.86
2025-06-28,Robot assemblage,787,45,94.28
2025-06-28,Machine de moulage par injection,816,36,95.59
2025-06-28,Machine extrusion,872,32,96.33
2025-06-28,Machine de pliage,960,19,98.02
2025-06-28,Machine de polissage,1011,21,97.92
2025-06-28,Machine de peinture industrielle,980,78,92.04
2025-06-28,Machine emballage,1049,75,92.85
2025-06-28,Etiqueteuse automatique,1165,84,92.79
2025-06-28,Convoyeur industriel,1185,65,94.51
2025-06-28,Machine de controle qualite par vision,1147,52,95.47
2025-06-28,Machine de palettisation automatique,1152,36,96.88
2025-06-29,Machine CNC,679,52,92.34
2025-06-29,Tour industriel,721,38,94.73
2025-06-29,Fraiseuse industrielle,677,27,96.01
2025-06-29,Perceuse a colonne,726,27,96.28
2025-06-29,Presse hydraulique,701,29,95.86
2025-06-29,Presse mecanique,710,22,96.9
2025-06-29,Machine de decoupe laser,777,31,96.01
2025-06-29,Machine de decoupe plasma,748,55,92.65
2025-06-29,Machine de soudage robotisee,784,59,92.47
2025-06-29,Robot assemblage,810,46,94.32
2025-06-29,Machine de moulage par injection,873,36,95.88
2025-06-29,Machine extrusion,908,32,96.48
2025-06-29,Machine de pliage,1019,22,97.84
2025-06-29,Machine de polissage,978,18,98.16
2025-06-29,Machine de peinture industrielle,1059,72,93.2
2025-06-29,Machine emballage,1062,75,92.94
2025-06-29,Etiqueteuse automatique,1078,79,92.67
2025-06-29,Convoyeur industriel,1118,50,95.53
2025-06-29,Machine de controle qualite par vision,1118,41,96.33
2025-06-29,Machine de palettisation automatique,1152,35,96.96
2025-06-30,Machine CNC,719,52,92.77
2025-06-30,Tour industriel,634,34,94.64
2025-06-30,Fraiseuse industrielle,651,31,95.24
2025-06-30,Perceuse a colonne,704,28,96.02
2025-06-30,Presse hydraulique,708,27,96.19
2025-06-30,Presse mecanique,760,32,95.79
2025-06-30,Machine de decoupe laser,758,35,95.38
2025-06-30,Machine de decoupe plasma,794,68,91.44
2025-06-30,Machine de soudage robotisee,839,57,93.21
2025-06-30,Robot assemblage,892,55,93.83
2025-06-30,Machine de moulage par injection,928,39,95.8
2025-06-30,Machine extrusion,905,25,97.24
2025-06-30,Machine de pliage,982,14,98.57
2025-06-30,Machine de polissage,973,14,98.56
2025-06-30,Machine de peinture industrielle,1093,86,92.13
2025-06-30,Machine emballage,1093,82,92.5
2025-06-30,Etiqueteuse automatique,1024,64,93.75
2025-06-30,Convoyeur industriel,1109,67,93.96
2025-06-30,Machine de controle qualite par vision,1063,49,NaN
2025-06-30,Machine de palettisation automatique,1124,19,98.31
2025-07-01,Machine CNC,619,44,92.89
2025-07-01,Tour industriel,713,43,93.97
2025-07-01,Fraiseuse industrielle,728,30,95.88
2025-07-01,Perceuse a colonne,702,29,95.87
2025-07-01,Presse hydraulique,729,29,96.02
2025-07-01,Presse mecanique,760,29,96.18
2025-07-01,Machine de decoupe laser,833,29,96.52
2025-07-01,Machine de decoupe plasma,828,67,91.91
2025-07-01,Machine de soudage robotisee,834,58,93.05
2025-07-01,Robot assemblage,873,45,94.85
2025-07-01,Machine de moulage par injection,838,35,95.82
2025-07-01,Machine extrusion,910,28,NaN
2025-07-01,Machine de pliage,930,20,97.85
2025-07-01,Machine de polissage,962,24,97.51
2025-07-01,Machine de peinture industrielle,936,70,92.52
2025-07-01,Machine emballage,985,74,92.49
2025-07-01,Etiqueteuse automatique,1033,65,93.71
2025-07-01,Convoyeur industriel,NaN,50,95.25
2025-07-01,Machine de controle qualite par vision,1107,47,95.75
2025-07-01,Machine de palettisation automatique,1163,26,97.76
2025-07-02,Machine CNC,661,50,92.44
2025-07-02,Tour industriel,708,36,94.92
2025-07-02,Fraiseuse industrielle,745,34,95.44
2025-07-02,Perceuse a colonne,807,30,96.28
2025-07-02,Presse hydraulique,733,34,95.36
2025-07-02,Presse mecanique,810,26,96.79
2025-07-02,Machine de decoupe laser,765,27,96.47
2025-07-02,Machine de decoupe plasma,803,60,92.53
2025-07-02,Machine de soudage robotisee,852,61,92.84
2025-07-02,Robot assemblage,814,41,94.96
2025-07-02,Machine de moulage par injection,894,28,96.87
2025-07-02,Machine extrusion,872,26,97.02
2025-07-02,Machine de pliage,886,18,97.97
2025-07-02,Machine de polissage,943,22,97.67
2025-07-02,Machine de peinture industrielle,953,75,92.13
2025-07-02,Machine emballage,1034,72,93.04
2025-07-02,Etiqueteuse automatique,1068,79,92.6
2025-07-02,Convoyeur industriel,1063,61,94.26
2025-07-02,Machine de controle qualite par vision,1122,42,96.26
2025-07-02,Machine de palettisation automatique,1168,26,97.77
2025-07-03,Machine CNC,750,47,93.73
2025-07-03,Tour industriel,761,42,94.48
2025-07-03,Fraiseuse industrielle,716,30,95.81
2025-07-03,Perceuse a colonne,741,26,96.49
2025-07-03,Presse hydraulique,784,37,95.28
2025-07-03,Presse mecanique,737,34,95.39
2025-07-03,Machine de decoupe laser,766,29,96.21
2025-07-03,Machine de decoupe plasma,792,62,92.17
2025-07-03,Machine de soudage robotisee,784,49,93.75
2025-07-03,Robot assemblage,775,44,94.32
2025-07-03,Machine de moulage par injection,830,36,95.66
2025-07-03,Machine extrusion,815,22,97.3
2025-07-03,Machine de pliage,943,28,97.03
2025-07-03,Machine de polissage,939,26,97.23
2025-07-03,Machine de peinture industrielle,976,81,91.7
2025-07-03,Machine emballage,1053,73,93.07
2025-07-03,Etiqueteuse automatique,1067,70,93.44
2025-07-03,Convoyeur industriel,1136,53,95.33
2025-07-03,Machine de controle qualite par vision,1121,41,96.34
2025-07-03,Machine de palettisation automatique,1199,36,97.0
2025-07-04,Machine CNC,757,53,93.0
2025-07-04,Tour industriel,769,43,94.41
2025-07-04,Fraiseuse industrielle,770,37,95.19
2025-07-04,Perceuse a colonne,734,32,95.64
2025-07-04,Presse hydraulique,698,30,95.7
2025-07-04,Presse mecanique,752,37,95.08
2025-07-04,Machine de decoupe laser,713,25,96.49
2025-07-04,Machine de decoupe plasma,777,67,91.38
2025-07-04,Machine de soudage robotisee,746,48,93.57
2025-07-04,Robot assemblage,772,35,95.47
2025-07-04,Machine de moulage par injection,805,29,96.4
2025-07-04,Machine extrusion,872,28,96.79
2025-07-04,Machine de pliage,924,21,97.73
2025-07-04,Machine de polissage,963,25,97.4
2025-07-04,Machine de peinture industrielle,1020,83,91.86
2025-07-04,Machine emballage,1080,76,92.96
2025-07-04,Etiqueteuse automatique,1121,77,93.13
2025-07-04,Convoyeur industriel,1176,57,95.15
2025-07-04,Machine de controle qualite par vision,1190,38,96.81
2025-07-04,Machine de palettisation automatique,1160,26,97.76
2025-07-05,Machine CNC,720,46,93.61
2025-07-05,Tour industriel,790,41,94.81
2025-07-05,Fraiseuse industrielle,807,37,95.42
2025-07-05,Perceuse a colonne,702,35,95.01
2025-07-05,Presse hydraulique,686,29,95.77
2025-07-05,Presse mecanique,678,31,95.43
2025-07-05,Machine de decoupe laser,666,26,96.1
2025-07-05,Machine de decoupe plasma,697,59,91.54
2025-07-05,Machine de soudage robotisee,782,54,93.09
2025-07-05,Robot assemblage,833,42,94.96
2025-07-05,Machine de moulage par injection,874,33,96.22
2025-07-05,Machine extrusion,914,31,96.61
2025-07-05,Machine de pliage,1001,31,96.9
2025-07-05,Machine de polissage,985,32,96.75
2025-07-05,Machine de peinture industrielle,1021,80,92.16
2025-07-05,Machine emballage,1113,79,92.9
2025-07-05,Etiqueteuse automatique,1083,70,93.54
2025-07-05,Convoyeur industriel,1179,53,95.5
2025-07-05,Machine de controle qualite par vision,1103,33,97.01
2025-07-05,Machine de palettisation automatique,1198,16,98.66
2025-07-06,Machine CNC,699,49,92.99
2025-07-06,Tour industriel,658,34,94.83
2025-07-06,Fraiseuse industrielle,634,24,96.21
2025-07-06,Perceuse a colonne,694,34,95.1
2025-07-06,Presse hydraulique,702,34,95.16
2025-07-06,Presse mecanique,711,29,95.92
2025-07-06,Machine de decoupe laser,762,31,95.93
2025-07-06,Machine de decoupe plasma,759,62,91.83
2025-07-06,Machine de soudage robotisee,800,57,92.88
2025-07-06,Robot assemblage,816,37,95.47
2025-07-06,Machine de moulage par injection,894,36,95.97
2025-07-06,Machine extrusion,949,30,96.84
2025-07-06,Machine de pliage,970,21,97.84
2025-07-06,Machine de polissage,1018,31,96.95
2025-07-06,Machine de peinture industrielle,1030,87,91.55
2025-07-06,Machine emballage,1110,77,93.06
2025-07-06,Etiqueteuse automatique,1080,72,93.33
2025-07-06,Convoyeur industriel,1109,62,94.41
2025-07-06,Machine de controle qualite par vision,1168,43,96.32
2025-07-06,Machine de palettisation automatique,1164,23,98.02
2025-07-07,Machine CNC,714,45,93.7
2025-07-07,Tour industriel,689,33,95.21
2025-07-07,Fraiseuse industrielle,662,31,95.32
2025-07-07,Perceuse a colonne,699,32,95.42
2025-07-07,Presse hydraulique,730,32,95.62
2025-07-07,Presse mecanique,699,33,95.28
2025-07-07,Machine de decoupe laser,736,28,96.2
2025-07-07,Machine de decoupe plasma,809,64,92.09
2025-07-07,Machine de soudage robotisee,866,55,93.65
2025-07-07,Robot assemblage,850,37,95.65
2025-07-07,Machine de moulage par injection,908,31,96.59
2025-07-07,Machine extrusion,927,22,97.63
2025-07-07,Machine de pliage,976,31,96.82
2025-07-07,Machine de polissage,984,32,96.75
2025-07-07,Machine de peinture industrielle,1039,87,91.63
2025-07-07,Machine emballage,1076,75,93.03
2025-07-07,Etiqueteuse automatique,1055,72,93.18
2025-07-07,Convoyeur industriel,1095,58,94.7
2025-07-07,Machine de controle qualite par vision,1105,36,96.74
2025-07-07,Machine de palettisation automatique,1080,27,97.5
2025-07-08,Machine CNC,650,43,93.38
2025-07-08,Tour industriel,703,33,95.31
2025-07-08,Fraiseuse industrielle,692,33,95.23
2025-07-08,Perceuse a colonne,715,32,95.52
2025-07-08,Presse hydraulique,725,35,95.17
2025-07-08,Presse mecanique,780,37,95.26
2025-07-08,Machine de decoupe laser,819,33,95.97
2025-07-08,Machine de decoupe plasma,823,59,92.83
2025-07-08,Machine de soudage robotisee,854,49,94.26
2025-07-08,Robot assemblage,874,39,95.54
2025-07-08,Machine de moulage par injection,933,27,97.11
2025-07-08,Machine extrusion,883,29,96.72
2025-07-08,Machine de pliage,937,25,97.33
2025-07-08,Machine de polissage,983,35,96.44
2025-07-08,Machine de peinture industrielle,1008,86,91.47
2025-07-08,Machine emballage,1042,82,92.13
2025-07-08,Etiqueteuse automatique,1035,66,93.62
2025-07-08,Convoyeur industriel,1088,47,95.68
2025-07-08,Machine de controle qualite par vision,1064,32,96.99
2025-07-08,Machine de palettisation automatique,1073,25,97.67
2025-07-09,Machine CNC,734,47,93.6
2025-07-09,Tour industriel,740,34,95.41
2025-07-09,Fraiseuse industrielle,780,37,95.26
2025-07-09,Perceuse a colonne,731,35,95.21
2025-07-09,Presse hydraulique,790,37,95.32
2025-07-09,Presse mecanique,778,35,95.5
2025-07-09,Machine de decoupe laser,760,25,96.71
2025-07-09,Machine de decoupe plasma,782,64,91.82
2025-07-09,Machine de soudage robotisee,890,51,94.27
2025-07-09,Robot assemblage,879,33,96.25
2025-07-09,Machine de moulage par injection,874,31,96.45
2025-07-09,Machine extrusion,881,27,96.94
2025-07-09,Machine de pliage,934,31,96.68
2025-07-09,Machine de polissage,895,35,96.09
2025-07-09,Machine de peinture industrielle,962,84,91.27
2025-07-09,Machine emballage,987,72,92.71
2025-07-09,Etiqueteuse automatique,1056,63,94.03
2025-07-09,Convoyeur industriel,1055,53,94.98
2025-07-09,Machine de controle qualite par vision,1090,44,95.96
2025-07-09,Machine de palettisation automatique,1142,32,97.2
2025-07-10,Machine CNC,785,48,93.89
2025-07-10,Tour industriel,784,46,94.13
2025-07-10,Fraiseuse industrielle,740,41,94.46
2025-07-10,Perceuse a colonne,756,42,94.44
2025-07-10,Presse hydraulique,813,38,95.33
2025-07-10,Presse mecanique,795,32,95.97
2025-07-10,Machine de decoupe laser,857,34,96.03
2025-07-10,Machine de decoupe plasma,780,60,92.31
2025-07-10,Machine de soudage robotisee,846,46,94.56
2025-07-10,Robot assemblage,793,31,96.09
2025-07-10,Machine de moulage par injection,805,32,96.02
2025-07-10,Machine extrusion,796,23,97.11
2025-07-10,Machine de pliage,899,32,96.44
2025-07-10,Machine de polissage,954,33,96.54
2025-07-10,Machine de peinture industrielle,998,85,91.48
2025-07-10,Machine emballage,1040,72,93.08
2025-07-10,Etiqueteuse automatique,1106,74,93.31
2025-07-10,Convoyeur industriel,1110,50,95.5
2025-07-10,Machine de controle qualite par vision,1201,36,97.0
2025-07-10,Machine de palettisation automatique,1176,33,97.19
2025-07-11,Machine CNC,747,45,93.98
2025-07-11,Tour industriel,755,44,94.17
2025-07-11,Fraiseuse industrielle,742,43,NaN
2025-07-11,Perceuse a colonne,689,29,95.79
2025-07-11,Presse hydraulique,722,40,94.46
2025-07-11,Presse mecanique,798,41,94.86
2025-07-11,Machine de decoupe laser,736,24,96.74
2025-07-11,Machine de decoupe plasma,783,59,92.46
2025-07-11,Machine de soudage robotisee,783,46,94.13
2025-07-11,Robot assemblage,784,31,96.05
2025-07-11,Machine de moulage par injection,826,31,96.25
2025-07-11,Machine extrusion,840,32,96.19
2025-07-11,Machine de pliage,926,41,95.57
2025-07-11,Machine de polissage,990,32,96.77
2025-07-11,Machine de peinture industrielle,998,78,92.18
2025-07-11,Machine emballage,1061,78,92.65
2025-07-11,Etiqueteuse automatique,1113,61,94.52
2025-07-11,Convoyeur industriel,1133,46,95.94
2025-07-11,Machine de controle qualite par vision,1158,34,97.06
2025-07-11,Machine de palettisation automatique,1192,29,97.57
2025-07-12,Machine CNC,696,39,94.4
2025-07-12,Tour industriel,732,35,95.22
2025-07-12,Fraiseuse industrielle,696,33,95.26
2025-07-12,Perceuse a colonne,712,41,94.24
2025-07-12,Presse hydraulique,700,39,94.43
2025-07-12,Presse mecanique,765,34,95.56
2025-07-12,Machine de decoupe laser,734,25,96.59
2025-07-12,Machine de decoupe plasma,755,61,91.92
2025-07-12,Machine de soudage robotisee,824,45,94.54
2025-07-12,Robot assemblage,797,35,95.61
2025-07-12,Machine de moulage par injection,875,24,97.26
2025-07-12,Machine extrusion,876,37,95.78
2025-07-12,Machine de pliage,1006,31,96.92
2025-07-12,Machine de polissage,983,34,96.54
2025-07-12,Machine de peinture industrielle,1002,85,91.52
2025-07-12,Machine emballage,1087,78,92.82
2025-07-12,Etiqueteuse automatique,1096,75,93.16
2025-07-12,Convoyeur industriel,1170,40,96.58
2025-07-12,Machine de controle qualite par vision,1110,33,97.03
2025-07-12,Machine de palettisation automatique,1150,19,98.35
2025-07-13,Machine CNC,688,40,94.19
2025-07-13,Tour industriel,721,34,95.28
2025-07-13,Fraiseuse industrielle,628,33,94.75
2025-07-13,Perceuse a colonne,659,37,94.39
2025-07-13,Presse hydraulique,681,38,94.42
2025-07-13,Presse mecanique,709,34,95.2
2025-07-13,Machine de decoupe laser,707,23,96.75
2025-07-13,Machine de decoupe plasma,802,56,93.02
2025-07-13,Machine de soudage robotisee,776,40,94.85
2025-07-13,Robot assemblage,850,37,95.65
2025-07-13,Machine de moulage par injection,901,31,96.56
2025-07-13,Machine extrusion,919,36,96.08
2025-07-13,Machine de pliage,958,45,95.3
2025-07-13,Machine de polissage,997,36,96.39
2025-07-13,Machine de peinture industrielle,1065,77,92.77
2025-07-13,Machine emballage,1036,78,92.47
2025-07-13,Etiqueteuse automatique,1109,63,94.32
2025-07-13,Convoyeur industriel,1096,43,96.08
2025-07-13,Machine de controle qualite par vision,1126,27,97.6
2025-07-13,Machine de palettisation automatique,1157,25,97.84
2025-07-14,Machine CNC,691,39,94.36
2025-07-14,Tour industriel,652,38,94.17
2025-07-14,Fraiseuse industrielle,659,37,94.39
2025-07-14,Perceuse a colonne,664,35,94.73
2025-07-14,Presse hydraulique,715,36,94.97
2025-07-14,Presse mecanique,734,33,95.5
2025-07-14,Machine de decoupe laser,750,19,97.47
2025-07-14,Machine de decoupe plasma,800,57,92.88
2025-07-14,Machine de soudage robotisee,862,51,94.08
2025-07-14,Robot assemblage,913,35,96.17
2025-07-14,Machine de moulage par injection,942,34,96.39
2025-07-14,Machine extrusion,986,32,96.75
2025-07-14,Machine de pliage,997,42,95.79
2025-07-14,Machine de polissage,1019,31,96.96
2025-07-14,Machine de peinture industrielle,1050,79,92.48
2025-07-14,Machine emballage,989,68,93.12
2025-07-14,Etiqueteuse automatique,1062,59,94.44
2025-07-14,Convoyeur industriel,1057,42,96.03
2025-07-14,Machine de controle qualite par vision,1021,29,97.16
2025-07-14,Machine de palettisation automatique,1059,11,98.96
2025-07-15,Machine CNC,677,36,94.68
2025-07-15,Tour industriel,727,39,94.64
2025-07-15,Fraiseuse industrielle,657,33,94.98
2025-07-15,Perceuse a colonne,722,41,94.32
2025-07-15,Presse hydraulique,789,42,94.68
2025-07-15,Presse mecanique,747,33,95.58
2025-07-15,Machine de decoupe laser,772,26,96.63
2025-07-15,Machine de decoupe plasma,837,53,93.67
2025-07-15,Machine de soudage robotisee,860,44,94.88
2025-07-15,Robot assemblage,933,39,95.82
2025-07-15,Machine de moulage par injection,893,30,NaN
2025-07-15,Machine extrusion,911,33,96.38
2025-07-15,Machine de pliage,902,31,96.56
2025-07-15,Machine de polissage,1009,49,95.14
2025-07-15,Machine de peinture industrielle,1027,78,92.41
2025-07-15,Machine emballage,1015,67,93.4
2025-07-15,Etiqueteuse automatique,1076,59,94.52
2025-07-15,Convoyeur industriel,1078,32,97.03
2025-07-15,Machine de controle qualite par vision,1144,32,97.2
2025-07-15,Machine de palettisation automatique,1161,27,97.67
2025-07-16,Machine CNC,727,37,94.91
2025-07-16,Tour industriel,703,37,94.74
2025-07-16,Fraiseuse industrielle,718,44,93.87
2025-07-16,Perceuse a colonne,760,46,93.95
2025-07-16,Presse hydraulique,789,43,94.55
2025-07-16,Presse mecanique,792,37,95.33
2025-07-16,Machine de decoupe laser,832,28,96.63
2025-07-16,Machine de decoupe plasma,834,52,93.76
2025-07-16,Machine de soudage robotisee,836,37,95.57
2025-07-16,Robot assemblage,897,38,95.76
2025-07-16,Machine de moulage par injection,843,38,95.49
2025-07-16,Machine extrusion,934,41,95.61
2025-07-16,Machine de pliage,899,41,95.44
2025-07-16,Machine de polissage,935,32,96.58
2025-07-16,Machine de peinture industrielle,970,85,91.24
2025-07-16,Machine emballage,1052,81,92.3
2025-07-16,Etiqueteuse automatique,1024,53,94.82
2025-07-16,Convoyeur industriel,1140,38,96.67
2025-07-16,Machine de controle qualite par vision,1076,32,97.03
2025-07-16,Machine de palettisation automatique,1162,27,97.68
2025-07-17,Machine CNC,706,41,94.19
2025-07-17,Tour industriel,759,47,93.81
2025-07-17,Fraiseuse industrielle,761,44,94.22
2025-07-17,Perceuse a colonne,743,39,94.75
2025-07-17,Presse hydraulique,763,46,93.97
2025-07-17,Presse mecanique,798,34,95.74
2025-07-17,Machine de decoupe laser,819,23,97.19
2025-07-17,Machine de decoupe plasma,787,47,94.03
2025-07-17,Machine de soudage robotisee,761,40,94.74
2025-07-17,Robot assemblage,819,34,95.85
2025-07-17,Machine de moulage par injection,852,40,95.31
2025-07-17,Machine extrusion,843,37,95.61
2025-07-17,Machine de pliage,899,42,95.33
2025-07-17,Machine de polissage,969,41,95.77
2025-07-17,Machine de peinture industrielle,1018,87,91.45
2025-07-17,Machine emballage,1016,63,93.8
